Date,Close,Open,High,Low,Volume,momentum_rsi,momentum_stoch,momentum_roc,momentum_wr,trend_macd,trend_macd_signal,trend_ema_fast,trend_ema_slow,volatility_bbh,volatility_bbl,volatility_atr
2015-02-20,69.15670013427734,69.0484449541824,69.32863940470011,68.45621886639701,7610600,50.51361881686154,60.499160662689306,0.1250388399135023,-39.500839337310694,0.479131387277306,0.3917733631334979,69.5379983835539,69.05886699627659,72.46090800331297,64.79867375327882,1.467487081335911
2015-02-23,68.68545532226562,68.64087938230443,69.0930081614574,68.36068498345519,6724000,48.319613935395836,23.004115112226703,0.5257571891726512,-76.9958848877733,0.3756310403106937,0.38854489856893715,69.40683791258647,69.03120687227577,72.48302931642436,64.90706849241352,1.4003398882845357
2015-02-24,68.74913024902344,68.70455431184604,68.92743399773306,68.3543113351573,5708400,48.644196502475424,24.52263824184535,-0.2647149093364994,-75.47736175815464,0.29533981060173176,0.3699038809754961,69.30565211819216,69.01031230759043,72.48749874227283,64.91146747476819,1.3176181657136579
2015-02-25,69.1439437866211,68.85101552817288,69.2713022091073,68.62176648096778,4806500,50.71126733009567,26.1656516740257,0.03351067722363377,-73.8343483259743,0.2605629776683003,0.34803570031405695,69.28077391333507,69.02021093566677,72.53054670929407,64.95586762786414,1.2508099219562445
2015-02-26,68.17603302001953,68.70457994259621,68.72368322873989,67.88310462951567,5903100,45.840036063780715,7.266976024380824,-2.099242307297477,-92.73302397561918,0.1531345376904909,0.30905546778934373,69.1108137759019,68.95767923821141,72.3599404719483,65.40405794113764,1.2518128454711623
2015-02-27,67.93405151367188,68.46896297154885,68.60269569443278,67.86400289060494,6396500,44.68439826888769,1.729572240425934,-2.2253534210769335,-98.27042775957406,0.047918465546928246,0.25682806734086067,68.92977342786652,68.8818549623196,72.04747624521595,66.01468043203015,1.2005008413068308
2015-03-02,67.43734741210938,67.70480314415386,67.71753704921632,66.8196485606628,7343700,42.3256547233149,12.125034307753971,-2.7637128480877586,-87.87496569224604,-0.07468497760241632,0.19052545835220527,68.70016942544235,68.77485440304477,71.5578583455595,66.78242409462605,1.1918910524770552
2015-03-03,66.96610260009766,67.42459597236783,67.64111118504142,66.74321800688294,6901200,40.159702764047495,4.310413937264284,-5.14163618333401,-95.68958606273571,-0.2074828741607888,0.11092379184960646,68.43338991385086,68.64087278801165,71.54619100870835,66.80248910603774,1.162491265045198
2015-03-04,66.96610260009766,67.27176484827777,67.27176484827777,66.50760436941364,5784900,40.159702764047495,8.480573229409746,-6.756498212069458,-91.51942677059026,-0.30916233301238094,0.026906566877208986,68.20765340404267,68.51681573705505,71.62930382570663,66.50895301023088,1.1226581864270908
2015-03-05,66.69226837158203,66.8705721349166,67.0616097991694,66.43754662749845,5156900,38.82088613810567,4.651168279004343,-6.823861648689436,-95.34883172099565,-0.407146835150769,-0.05990411352838661,67.97451724520258,68.38166408035335,71.73466767336996,66.24019347164958,1.072798684951477
