Date,Close,Open,High,Low,Volume,momentum_rsi,momentum_stoch,momentum_roc,momentum_wr,trend_macd,trend_macd_signal,trend_ema_fast,trend_ema_slow,volatility_bbh,volatility_bbl,volatility_atr
2015-02-20,19.183000564575195,18.930999755859375,19.184999465942383,18.79199981689453,65160000,76.4019036385398,99.88133560848904,5.531568181090832,-0.11866439151096683,0.9200364591781032,0.9447228484505714,18.5149941662542,17.594957707076098,20.647432142910912,14.998167699160621,0.43671920490658717
2015-02-23,19.006999969482422,19.172000885009766,19.226999282836914,18.899999618530273,43540000,72.30153819540647,83.27635203711759,4.219332499590554,-16.723647962882414,0.8911339365335422,0.9340050660671657,18.59068736675085,17.699553430217307,20.670486996193645,15.313862826804401,0.42574725084659254
2015-02-24,18.929500579833984,18.9325008392334,19.02400016784668,18.808000564575195,38416000,70.5071339995431,77.38509496882703,1.2570574807306212,-22.614905031172974,0.8521518499707419,0.917634422847881,18.642812476455948,17.790660626485206,20.60808254205434,15.72091735876353,0.4047724860890817
2015-02-25,19.26849937438965,18.863500595092773,19.392499923706055,18.82699966430664,63490000,73.59426815607289,88.70154291057096,2.963015131387309,-11.298457089429029,0.8389418358479617,0.9018959054478972,18.73907199921498,17.900130163367017,20.47338160290997,16.24871827349384,0.42084526342011497
2015-02-26,19.239999771118164,19.203500747680664,19.4685001373291,19.163999557495117,53742000,72.90337403454338,79.38651657940062,3.842831918606614,-20.613483420599373,0.8167580463358313,0.8848683336254841,18.816137810277006,17.999379763941175,20.128118370158184,16.99843144597341,0.40921079506150193
2015-02-27,19.007999420166016,19.200000762939453,19.29949951171875,18.989500045776367,50646000,67.35964721375706,58.457292406908095,1.9195700212242397,-41.542707593091905,0.7715626499602202,0.8622071968924314,18.84565498102916,18.07409233106894,19.510197124629467,17.95825265869573,0.39928966214959
2015-03-02,19.283000946044922,19.042499542236328,19.295000076293945,18.974000930786133,42784000,70.24770458129518,82.21483014893057,2.8042916106962834,-17.785169851069433,0.7492978582835121,0.8396253291706477,18.91293897564697,18.163641117363458,19.47162171788241,18.15247820429777,0.39146061048541225
2015-03-03,19.230499267578125,19.197500228881836,19.30500030517578,19.079999923706055,38930000,68.99261039898974,73.94626015530227,1.9725839803343383,-26.053739844697738,0.7191267581658494,0.8155256149696881,18.96179440517484,18.24266764700899,19.4874087601507,18.237391158977715,0.3748145875838437
2015-03-04,19.13599967956543,19.285499572753906,19.395000457763672,19.109500885009766,45182000,66.6831953492513,60.17963319559323,0.2330898699268411,-39.82036680440677,0.6797548264582254,0.7883714572673957,18.988595216619544,18.30884039016132,19.460418117819827,18.360231792153314,0.3658830861008499
2015-03-05,19.39150047302246,19.280500411987305,19.42099952697754,19.194499969482422,53870000,69.64202048497432,90.77849426996603,3.3028839002153294,-9.221505730033966,0.6615432073453142,0.7630058072829794,19.05058064068153,18.389037433336217,19.463052678396387,18.47299735517295,0.3577947622319758
